PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;ORDER_ROWS;PRICE_MODE;CONFIDENCE_TIER;PRICE_RATIO_RANGE;CURRENT_BASE_PRICE;ORDER_PRICE_P50;MANUAL_REVIEW_REASON
24978;Махачкала-Хасавюрт Хасавюртовское шоссе 25 сторона Б 43.00622, 47.32212;РИК;10;guided;medium;0;10000;10000;requires_context_lookup
24988;Кизляр Южная сторона А 43.82564, 46.6964;РИК;10;guided;medium;0;10000;10000;requires_context_lookup
24994;Кизляр Гамидова 5 сторона Б 43.83713, 46.73259;РИК;10;guided;medium;0;10000;10000;requires_context_lookup
25800;Махачкала Расула Гамзатова 91 первый сторона А 42.97812, 47.51481;РИК;10;guided;medium;0;16500;16500;requires_context_lookup
10182;Махачкала Амет-Хана Султана Надежная крыша Сторона А 42.90461, 47.51995;РИК;9;manual;low;0;14300;14300;insufficient_history
10256;"Махачкала Амет-Хана Султана 31 Магазин мебели ""Арредо"" Сторона Б 42.94449, 47.50888";РИК;9;manual;low;0;16500;16500;insufficient_history
11190;Макет иконки Простой 1 решение;Дизайн;9;manual;low;0;2000;1000;insufficient_history
11304;Рерайт текста;Маркетинг;9;manual;low;0;500;500;insufficient_history
11346;Выезд Кизилюрт 70 км 1,2 ч Цех;Цех;9;manual;low;0;4000;3000;insufficient_history
12402;Макет кружки брендированной Простая 1 оригинал-макет;Дизайн;9;manual;low;0;2000;500;insufficient_history
16198;"Махачкала Имама Шамиля 24Г ТД ""Шафран"" Сторона А 42.97721, 47.47987";РИК;9;manual;low;0;17600;17600;insufficient_history
16656;Махачкала Каммаева 68 Стройбаза Сторона А 43.01595, 47.44798;РИК;9;manual;low;0;20000;20000;insufficient_history
16846;Махачкала Насрутдинова 19 Клиника Азизова Сторона А 42.95424, 47.55951;РИК;9;manual;low;0;17600;17600;insufficient_history
16906;Махачкала Насрутдинова 58 Апельсин Сторона А 42.95125, 47.56365;РИК;9;manual;low;0;17600;17600;insufficient_history
21186;Макет слайда презентации с изображением средней сложности 1 слайд;Дизайн;9;manual;low;0;2000;2000;insufficient_history
21410;Макет баннера для соц сетей Средней сложности 1 решение;Дизайн;9;manual;low;0;3000;3000;insufficient_history
23986;Махачкала Казбекова 381 Техцентр Гранд сторона А 43.02739, 47.43848;РИК;9;manual;low;0;15000;15000;insufficient_history
23988;Махачкала Казбекова 381 Техцентр Гранд сторона Б 43.02739, 47.43848;РИК;9;manual;low;0;15000;15000;insufficient_history
7920;Фольгирование Бумаги Тачкавер А4 от 100 шт 1 шт Печатная;Печатная;9;manual;low;0;120;80;insufficient_history
10340;Махачкала Гагарина 29 Цвточные магазины Сторона Б 42.9553, 47.50582;РИК;8;manual;low;0;17600;17600;insufficient_history
10418;Заполнение брифа для разработки логотипа 1 интервью;Дизайн;8;manual;low;0;5000;2000;insufficient_history
11546;Логобук индивидуальный 10 слайдов;Дизайн;8;manual;low;0;25000;15000;insufficient_history
15776;Махачкала Гагарина 54 первый Парк Сторона Б 42.95746, 47.50035;РИК;8;manual;low;0;17600;17600;insufficient_history
15896;"Махачкала Гамидова 47С рынок ""Ирчи Казака"" Сторона Б 42.96192, 47.51298";РИК;8;manual;low;0;17600;17600;insufficient_history
16286;Махачкала Имама Шамиля 40/1 Цветочный рынок Сторона А3 42.97444, 47.48417;РИК;8;manual;low;0;22000;17600;insufficient_history
16424;Махачкала Имама Шамиля 75 Флайстудио Сторона А 42.95614, 47.51107;РИК;8;manual;low;0;18000;17600;insufficient_history
16650;Махачкала Каммаева 2В АЗС Белнефть Сторона Б 43.00215, 47.45688;РИК;8;manual;low;0;17600;17600;insufficient_history
16716;Махачкала Магомеда Гаджиева 52 Поворот на Радищева Сторона А2 42.98543, 47.49595;РИК;8;manual;low;0;7000;7000;insufficient_history
16722;Махачкала Магомеда Гаджиева 52 Поворот на Радищева Сторона А1 42.98542, 47.49597;РИК;8;manual;low;0;7000;7000;insufficient_history
17586;Махачкала Ярагского 98/3 Стадион Е.Исинбаевой Сторона Б 42.96473, 47.49997;РИК;8;manual;low;0;17600;5000;insufficient_history
18600;Каспийск Приморская 16 Сторона Б 42.87035, 47.66217;РИК;8;manual;low;0;17600;17600;insufficient_history
20044;Избербаш Лермонтова 1 Магнит Сторона Б 42.5771, 47.86453;РИК;8;manual;low;0;17600;17600;insufficient_history
24244;Визитки Ламинация матовая 32мкр 240 Печатная;Печатная;8;manual;low;0;4.44;4.44;insufficient_history
4674;Коктейль А4 бум. Белое золото 1 шт Печатная;Печатная;8;manual;low;0;47.5;47.5;insufficient_history
8206;Фольгирование бумаги Тачкавер визитки от 120 шт 1 сторона Печатная;Печатная;8;manual;low;0;10;6.67;insufficient_history
10062;Махачкала Акушинского 17 Киргу Сторона Б2 42.98173, 47.46619;РИК;7;manual;low;0;22000;17600;insufficient_history
10258;"Махачкала Амет-Хана Султана 38 ТД ""Исмаил"" Сторона А 42.93486, 47.51624";РИК;7;manual;low;0;19000;19000;insufficient_history
11350;Выезд Леваши 100 км 1,6 ч Цех;Цех;7;manual;low;0;5500;4000;insufficient_history
11554;Макет упаковки по лекалу заказчика Простой 1 оригинал-макет;Дизайн;7;manual;low;0;5000;5000;insufficient_history
13814;Резка листового материала прямая ручная 60-100 мп Цех;Цех;7;manual;low;0;17.6;17.6;insufficient_history
16462;Махачкала Имама Шамиля 89 первый Лада Деталь Сторона Б 42.95441, 47.51514;РИК;7;manual;low;0;17600;17600;insufficient_history
16540;Махачкала Ирчи казака 97 Рынок Сторона А 42.96064, 47.5143;РИК;7;manual;low;0;17600;17600;insufficient_history
16668;Махачкала Каммаева 87 Доступный дом Сторона А 43.0085, 47.44884;РИК;7;manual;low;0;18000;15000;insufficient_history
16816;Махачкала Насрутдинова АЗС Джет третий Сторона А 42.91264, 47.61382;РИК;7;manual;low;0;17600;17600;insufficient_history
16926;Махачкала Насрутдинова 73 АЗС ASKO Сторона Б 42.94739, 47.56937;РИК;7;manual;low;0;16500;16500;insufficient_history
21210;Адаптация слайда презентации сложная 1 слайд;Дизайн;7;manual;low;0;2000;1000;insufficient_history
10730;Макет баннера для web Сложный 1 решение;Дизайн;6;manual;low;0;6000;3000;insufficient_history
11556;Макет упаковки по лекалу заказчика Средней сложности 1 оригинал-макет;Дизайн;6;manual;low;0;10000;10000;insufficient_history
12290;Макет бейсболки брендированной по образцу клиента 1 оригинал-макет;Дизайн;6;manual;low;0;1000;500;insufficient_history
12340;Макет карточки товара для каталога 1 адаптация;Дизайн;6;manual;low;0;500;500;insufficient_history
13642;Съемка подкаста две камеры 1 час;Дизайн;6;manual;low;0;6000;6000;insufficient_history
16366;Махачкала Имама Шамиля 57 Кингсмен Сторона Б 42.95951, 47.50531;РИК;6;manual;low;0;17600;17600;insufficient_history
16620;Махачкала Каммаева 10А Восход Сторона А 43.00991, 47.44633;РИК;6;manual;low;0;17600;17600;insufficient_history
17230;Махачкала Хаджи Булача 61 АЗС Ультра Сторона А1 42.95178, 47.5348;РИК;6;manual;low;0;17600;17600;insufficient_history
17316;Махачкала Ярагского 71А первый Мультиповер Сторона А1 42.96635, 47.50275;РИК;6;manual;low;0;17600;5000;insufficient_history
17324;Махачкала Ярагского 71А второй Остановка Ирчи Казака Сторона А 42.96646, 47.50289;РИК;6;manual;low;0;5000;5000;insufficient_history
17590;Махачкала Ярагского 10 Гостиница Ленинград Сторона Б 42.97882, 47.51557;РИК;6;manual;low;0;17600;5000;insufficient_history
18442;Каспийск Молодежная 4 второй Анжи арена Сторона А 42.90836, 47.61621;РИК;6;manual;low;0;17600;17600;insufficient_history
18444;Каспийск Молодежная 4 второй Анжи арена Сторона Б 42.90836, 47.61621;РИК;6;manual;low;0;17600;17600;insufficient_history
18652;Каспийск Орджоникидзе 3Г третий Автостанция Сторона А 42.88703, 47.63471;РИК;6;manual;low;0;17600;17600;insufficient_history
18758;Каспийск Стальского 1Б второй Классный Сторона Б1 42.88799, 47.63649;РИК;6;manual;low;0;5000;5000;insufficient_history
21376;Макет меню борд Простой 1 формат;Дизайн;6;manual;low;0;2500;2000;insufficient_history
21964;Полноформатная съемка Сложная 1 час;Дизайн;6;manual;low;0;3500;6000;insufficient_history
22076;Шоколад с логотипом 10 гр 200 шт;Мерч;6;manual;low;0;19.55;19.55;insufficient_history
23652;Ламинация с накаткой для интерьерной печати винила холодная глянцевая 10-20 кв.м;Сольвент;6;manual;low;0;675;675;insufficient_history
4588;А4 Ламинация глянцевая 150мкр 8-20 шт Печатная;Печатная;6;manual;low;0;56.39;56.39;insufficient_history
4668;Крафт А4 бум. 350 гр. 1 шт Печатная;Печатная;6;manual;low;0;46.25;30;insufficient_history
8962;Фольгирование гладкой бумаги Открытка 10х21см 1 шт;Печатная;6;manual;low;0;30;20;insufficient_history
10136;Махачкала Акушинского 387 Северный автовокзал Сторона А2 42.97019, 47.41196;РИК;5;manual;low;0;17600;17600;insufficient_history
10198;Махачкала Амет-Хана Султана 65 Лада Деталь Сторона А 42.93045, 47.51905;РИК;5;manual;low;0;16500;16500;insufficient_history
10260;"Махачкала Амет-Хана Султана 38 ТД ""Исмаил"" Сторона Б 42.93486, 47.51624";РИК;5;manual;low;0;20000;20000;insufficient_history
10768;Макет баннера информационного Сложный 1 решение;Дизайн;5;manual;low;0;6000;5000;insufficient_history
10772;Адаптивная верстка средней сложности блока;IT;5;manual;low;0;1000;1000;insufficient_history
