TEMPLATE_BUNDLE_KEY;TEMPLATE_PRODUCT_COUNT;TEMPLATE_DEAL_COUNT;EXACT_ORDER_MATCH_COUNT;CONTAINED_ORDER_MATCH_COUNT;MATCH_RATE_PER_TEMPLATE_DEAL;SAMPLE_TEMPLATE_TITLE;SAMPLE_ORDER_TITLE
6288;1;2;51;491;245.5;Самоклейка интерьерная глянцевая;0388
6290;1;2;12;281;140.5;Самоклейка интерьерная глянцевая;0383
7258;1;2;3;257;128.5;Самоклейка бумажная 30х40 см;0401
6276;1;2;30;248;124;Самоклейка стандартная глянцевая;0419
7980;1;1;17;227;227;Баннер интерьерная печать;0464
10764;1;1;9;208;208;Информационный баннер;1423
7982;1;1;19;200;200;Баннер интерьерная печать;0429
6292;1;4;9;189;47.25;Самоклейка интерьерная глянцевая;0306
7290;1;1;4;158;158;Визитка;0438
7300;1;1;4;117;117;Листовка;0320
7292;1;1;2;111;111;Визитка;0491
8788;1;1;1;106;106;Стабилизатор с установкой 1 кВт;0368
7976;1;1;2;101;101;Баннер литой;БББ 0116
7978;1;1;6;96;96;Баннер интерьерная печать;0454
6278;1;2;11;95;47.5;Самоклейка стандартная матовая;БББ 0020
21978;1;1;1;92;92;Аудиомонтаж;КИД-0015
21972;1;1;2;91;91;Видеомонтаж;КИД-0015
7260;1;2;0;87;43.5;Самоклейка бумажная 30х40 см;0446
21954;1;1;1;81;81;Мобильная съемка;КИД-0015
5258|5350;2;1;14;79;79;Визитки матовые. Оперативная полиграфия.;0491
6288|9134;2;1;3;75;75;Самоклейка интерьерная с глянцевой ламинацией;0388
12728;1;1;15;73;73;Рекламный баннер;АЛ-0354
7984;1;1;6;73;73;Баннер интерьерная печать;0580
6294;1;4;1;71;17.75;Самоклейка интерьерная глянцевая;0539
7956;1;1;3;64;64;Печать на баннере 440 гр/м2;0375
10408;1;1;5;63;63;Отрисовка ручная эскиза логотипа;0500
8340;1;1;0;62;62;Фотореле с установкой максимальная нагрузка 2,2 кВт;АЛ-0242
6280;1;4;1;61;15.25;Самоклейка стандартная матовая;0395
21352;1;1;2;61;61;Дизайн текстового баннера;ДЗ-0055
7296;1;1;3;59;59;Флаер 21х10 см;0437
12346;1;1;15;59;59;Дизайн транспорта;ГМ-0279
8970;1;2;20;58;29;Плакат матовый (формат);0486
10766;1;1;7;58;58;Информационный баннер;0392
7302;1;1;8;54;54;Листовка;0549
7958;1;1;6;54;54;Печать на баннере 440 гр/м2;0423
11566;1;1;3;53;53;Этикетка;МК-0155
10420;1;3;0;53;17.6667;Креативная графическая идея для логотипа;СГ0005
22026;1;1;20;51;51;Создание анимационного ролика;КИД-0018
10852|7258;2;3;13;49;16.3333;Бумажные самоклеящиеся круглые стикеры 7 см;0528
5266|5350;2;1;11;48;48;Визитки матовые. Оперативная полиграфия.;0539
10854|7260;2;7;14;46;6.5714;Бумажные самоклеящиеся круглые стикеры 7 см;0446
7946;1;1;5;46;46;Печать на баннере 240 гр/м2;АЛ-0239
7952;1;1;1;45;45;Печать на баннере 240 гр/м2;0417
7692;1;3;0;45;15;Монтаж вывески сложный;БББ 0059
7954;1;1;3;40;40;Печать на баннере 440 гр/м2;0444
21974;1;1;1;40;40;Видеомонтаж;КИД-0017
21406;1;1;8;39;39;Дизайн поста для социальных сетей;ГГ-0075
7688;1;1;0;38;38;Монтаж вывески сложный;БББ 0019 Низам Август
8972;1;2;7;37;18.5;Плакат матовый (формат);0305
21980;1;1;4;37;37;Аудиомонтаж;КИД-0036
6292|9138;2;2;2;36;18;Самоклейка интерьерная с глянцевой ламинацией;МК-0131
21358;1;2;5;36;18;Дизайн баннера 4х3;БББ-1184(А)
11194;1;1;3;35;35;Подбор иллюстрации;МА-0229
6288|6324;2;1;2;35;35;Оклейка транспорта самоклейка без ламинации ровная поверхность;0388
9000;1;1;4;34;34;Холст лакированный;0381
12354;1;1;5;33;33;Брендирование транспорта;МК-0301
10732;1;1;4;33;33;Фотосъемка предметная;МА-0248
10722;1;1;4;33;33;Отрисовка ручная с доработкой эскиза логотипа;СГ0009
7690;1;1;0;33;33;Монтаж вывески сложный;0305
21202;1;1;0;32;32;Дизайн обложки презентации;ЮД-0470
10854|7262;2;2;18;31;15.5;Бумажные самоклеящиеся круглые стикеры 7 см;АЛ-0254
10854|7258;2;3;6;31;10.3333;Бумажные самоклеящиеся круглые стикеры 7 см;АЛ-0129 (а)
4514|7904;2;2;2;31;15.5;Меню А4 одностраничное DNS;0385
12348;1;1;8;31;31;Дизайн транспорта;МК-0322
21208;1;1;1;31;31;Адаптация слайда презентации;ГМ-0434 (баннер примеры работ)
6282;1;4;0;30;7.5;Самоклейка стандартная матовая;0431
10436;1;1;3;30;30;Дизайн баннера для web;АЛ-0057
6292|6328;2;1;1;30;30;Оклейка транспорта самоклейка без ламинации ровная поверхность;0306
7346;1;1;0;30;30;Гайдлайн;БББ-0891
7304;1;1;3;29;29;Буклет;РРР-0023
21184;1;1;3;29;29;Дизайна слайда презентации с изображением;Амина кидз авеню юд-0309
17906;1;1;9;28;28;Визитки эконом. Офсет.;БББ-0853
7374;1;1;0;28;28;Стикер;БББ 0241
5270|5350;2;1;9;27;27;Визитки матовые. Оперативная полиграфия.;0465
6296;1;4;0;27;6.75;Самоклейка интерьерная глянцевая;АЛ-0454
6290|9136;2;1;2;27;27;Самоклейка интерьерная с глянцевой ламинацией;0383
6632|7982;2;2;1;27;13.5;Баннер с интерьерной печатью на люверсах;АЛ-0193
7680;1;3;0;27;9;Монтаж вывески простой;0618
8980;1;2;5;26;13;Плакат глянцевый (формат);0422
7986;1;2;1;26;13;Баннер интерьерная печать;0500
11312|7980|9460;3;1;6;26;26;Ролл-ап стенд 100х200 см;АЛ-0247
12422;1;1;9;25;25;Дизайн-макет вывески с визуализацией;СГ0032
13652;1;1;0;24;24;Дизайн одностраничного меню.;ГМ-0122
6290|6326;2;1;0;24;24;Оклейка транспорта самоклейка без ламинации ровная поверхность;БББ 0010
20748;1;1;1;24;24;Махачкала, Гагарина 56, Брандмауэр  3х10;БББ-0994
21400;1;1;1;24;24;Дизайн поста для социальных сетей;ГМ-0454 (БРЕНДБУК ТК)
7970;1;1;0;23;23;Баннер литой;0441
10446|4520;2;2;5;22;11;Бланк А4 цветной;0425
11104|4712;2;2;2;22;11;Бланк А5 цветной;Р065
7960;1;1;1;22;22;Печать на баннере 440 гр/м2;0396
9604;1;2;0;22;11;Монтаж таблички на двухсторонний скотч;0352
10856;1;1;4;21;21;Информационный плакат;"ГГ_005 [Плакат для панели ""Клик""]"
11568;1;1;6;21;21;Этикетка;МА-0133
6298;1;2;1;21;10.5;Самоклейка интерьерная глянцевая;Ян-004
6294|9140;2;2;1;21;10.5;Самоклейка интерьерная с глянцевой ламинацией;АЛ-0286
12366;1;1;0;21;21;Титульная вывеска;СГ0032
21190;1;1;1;21;21;Дизайна слайда презентации со статьей;ГМ-0449 (товары для стр презентации)
8982;1;2;5;20;10;Плакат глянцевый (формат);МА-0044
7964;1;1;3;20;20;Печать на баннере 440 гр/м2;0327
12302;1;1;0;19;19;Шаблон бейджа;ГГ_001 [Бейджи]
6288|6348;2;1;0;19;19;Самоклейка интерьерная с матовой ламинацией;БББ 0031
7972;1;1;1;19;19;Баннер литой;0539
10438;1;1;8;19;19;Дизайн баннера для web;АЛ-0057
21354;1;1;0;19;19;Дизайн текстового баннера;БББ-1283
22010;1;1;0;19;19;Написание сценария для видеоролика;АВР-0010 (Видео с Али)
7694;1;2;0;19;9.5;Монтаж вывески сложный;АЛ-0684
7326;1;1;1;18;18;Брошюра верстка;0426
9002;1;1;2;18;18;Холст лакированный;0582
12428;1;1;1;18;18;Подготовка вывески к производству;МК-0262
7676;1;1;0;18;18;Монтаж вывески простой;0305
4300|7846;2;1;3;17;17;Меню А3 одностраничное DNS;АЛ-0129 (а)
11544;1;1;1;17;17;Логобук шаблонный;СГ0032
7286;1;1;0;17;17;Подбор шрифта;0402
21426;1;1;3;17;17;Дизайн обложки меню;ДЗ-0088
12308;1;1;0;16;16;Заполнение бейджа;ГМ-0024
9006;1;2;8;16;8;Холст лакированный;РРР-0006
11434;1;1;2;16;16;Кружки с печатью;БББ 0082
6294|6330;2;1;0;16;16;Оклейка транспорта самоклейка без ламинации ровная поверхность;АЛ-0343
6292|6508;2;1;0;16;16;Оклейка транспорта самоклейка без ламинации рельефная поверхность;МК-0131
21952;1;1;1;16;16;Подготовка вывески к производству;РБ-0008 КЛД Стоматология
5274|5350;2;1;5;15;15;Визитки матовые. Оперативная полиграфия.;0634
6286;1;2;1;15;7.5;Самоклейка стандартная матовая;0354(а)
7974;1;2;0;15;7.5;Баннер литой;1423
8974;1;1;6;15;15;Плакат матовый (м²);0445
21414;1;1;2;15;15;Дизайн шаблона для поста;ИД0036
7284;1;1;0;15;15;Подбор иконки;0438
5420;1;1;6;14;14;Визитки эконом. Офсет.;МА-0391
10700;1;1;1;14;14;Визитка;0458
12284;1;1;3;14;14;Футболка;АЛ-0570
12350;1;1;1;14;14;Дизайн транспорта;МАМ-0201
9010;1;1;4;14;14;Холст без лака;0523
7972|8058;2;2;0;14;7;Баннер литой на люверсах;МА-0093
11110;1;1;0;14;14;Штендер эмалированный 122х66 см;МК-0055
21960;1;1;0;14;14;Полноформатная съемка;АВР-0050 (Видео с дизайнером Гайдар) https://youtube.com/shorts/ANsxWj9x8bY
7362;1;1;1;13;13;Имиджевый плакат;ГГ-0090
12730;1;1;5;13;13;Рекламный баннер;АЛ-0376
7376;1;1;1;13;13;Стикер;0514
10704;1;1;0;13;13;Листовка;АЛ-0118
7308;1;1;0;13;13;Буклет верстка;0526
6284;1;4;1;13;3.25;Самоклейка стандартная матовая;БББ 0323
9004;1;1;5;13;13;Холст лакированный;РРР-0001
7988;1;1;4;13;13;Баннер интерьерная печать;ЯН-003
10414;1;1;3;13;13;Отрисовка ручная с доработкой эскиза логотипа;0390
10422;1;1;4;13;13;Отрисовка ручная орнамента;0333
14334;1;2;10;13;6.5;Стойка для оплаты царапанный пластик с гравировкой 15х10 см;ГМ-0222
21408;1;1;1;13;13;Дизайн баннера для соц сетей;юд-0460 тезис
21950;1;1;4;13;13;Подготовка вывески к производству;БББ-1720
7678;1;1;1;13;13;Монтаж вывески простой;0368
5258|5372;2;1;0;12;12;Визитки эконом. Оперативная полиграфия.;МК-0214
4712|4802;2;1;0;12;12;Листовка А5 стандарт 250 гр/м2 односторонняя;МА-0067
4514|4632;2;3;0;12;4;Меню А4 одностраничное Hi-Kote;АЛ-0041
7294;1;1;0;12;12;Визитка;ЮД-0136
12310;1;1;0;12;12;Пакет;АЛ-0544
7962;1;2;0;12;6;Печать на баннере 440 гр/м2;АЛ-0292
10410;1;1;2;12;12;Отрисовка ручная эскиза логотипа;0243
11198;1;1;0;12;12;Доработка иллюстрации;МА-0214
11548;1;1;2;12;12;Ручная отрисовка с доработкой орнамента;ГМ-0014
21388;1;1;3;12;12;Дизайн меню-плейсмент;МА-1006
21428;1;1;2;12;12;Дизайн обложки меню;ГМ-0438 (СОЦ СЕТИ)
21550;1;1;0;12;12;Подбор фирменных цветов;ГМ-0441 (ПРИМЕРЫ РАБОТ)
21962;1;1;1;12;12;Полноформатная съемка;АВР-0010 (Видео с Али)
22296;1;8;3;12;1.5;Стикер виниловый 4 см УФ-печать;РД-0023
4310|7862;2;1;1;11;11;Листовка А3 эконом 105 гр/м2 односторонняя;АЛ-0010
4310|7866;2;1;0;11;11;Листовка А3 эконом 270 гр/м2 односторонняя;АЛ-0068
10666|9000;2;6;6;11;1.8333;Холст композиция 30х75 см и 40х100 см лакированный галерейная натяжка;0381
10708;1;1;0;11;11;Брошюра обложка;АЛ-0099
11436;1;1;2;11;11;Кружки с печатью;АЛ-0290
8984;1;1;3;11;11;Плакат глянцевый (м²);АЛ-0090
7984|8058;2;4;1;11;2.75;Баннер 440 гр на люверсах;0580
11196;1;1;0;11;11;Подбор иллюстрации;АЛ-0318
6292|6328|9138;3;1;0;11;11;Оклейка транспорта самоклейка с ламинацией ровная поверхность;МАМ-0305
13830;1;2;2;11;5.5;Флаер Офсет 150 гр/м2;АЛ-0707(А)
21204;1;1;0;11;11;Дизайн обложки презентации;ГМ-0418
8342;1;1;0;11;11;Фотореле с установкой максимальная нагрузка 5,5 кВт;БББ 0059
5266|5372;2;1;2;10;10;Визитки эконом. Оперативная полиграфия.;АЛ-0315 ( скидка 50% ПО СЕРТИФИКАТУ)
5086|5194;2;1;5;10;10;Флаер эконом 180 гр/м2 двухсторонний;Р012
7258|7276;2;4;2;10;2.5;Бумажные самоклеящиеся квадратные стикеры 4х4 см;Р054
10710;1;1;0;10;10;Конверт;ГМ-0441 (ПРИМЕРЫ РАБОТ)
6290|6350;2;1;1;10;10;Самоклейка интерьерная с матовой ламинацией;БББ 0010
7950;1;2;3;10;5;Печать на баннере 240 гр/м2;0482
8978;1;1;1;10;10;Плакат матовый (м²);БББ 0620
11550;1;1;0;10;10;Ручная отрисовка с доработкой орнамента;МК-0121
6294|6330|9140;3;1;1;10;10;Оклейка транспорта самоклейка с ламинацией ровная поверхность;АЛ-0343
6312;1;1;0;10;10;Самоклейка световая с УФ-печатью;ЮД-0077
6314;1;1;1;10;10;Самоклейка световая с УФ-печатью;0542
21360;1;2;1;10;5;Дизайн баннера 4х3;ИД0140
22012;1;1;0;10;10;Написание сценария для видеоролика;АВР - 0046 Съемка ролика (шрифты)
5082|5194;2;1;4;9;9;Флаер эконом 180 гр/м2 двухсторонний;АЛ-0423
4712|4822;2;2;2;9;4.5;Листовка А5 эконом 180 гр/м2 односторонняя;БББ 0363
10836|7260;2;7;0;9;1.2857;Бумажные самоклеящиеся квадратные стикеры 5х5 см;АЛ-0133
7306;1;1;0;9;9;Буклет;0488
12402;1;1;1;9;9;Кружка;АЛ-0811
6292|6352;2;2;0;9;4.5;Самоклейка интерьерная с матовой ламинацией;МК-0187
7948;1;1;0;9;9;Печать на баннере 240 гр/м2;БББ 0229
13654;1;1;0;9;9;Дизайн одностраничного меню.;АЛ-0639
13822;1;2;1;9;4.5;Пластиковая карта матовая;МА-0508
19068;1;3;3;9;3;Бейдж пластиковый с окошком на магните;гм-0406
6292|6508|9138;3;1;0;9;9;Оклейка транспорта самоклейка с ламинацией рельефная поверхность;МК-0131
21186;1;1;0;9;9;Дизайна слайда презентации с изображением;ГМ-0418
21236;1;1;2;9;9;Визуализация световой вывески день/ночь;ГМ-0432 (МАКЕТ ВЫВЕСКИ)
21402;1;1;1;9;9;Дизайн поста для социальных сетей;ГГ-0074
11190;1;1;0;9;9;Дизайн иконки;СГ0001
7282;1;1;0;9;9;Подбор иконки;0352
21956;1;1;0;9;9;Мобильная съемка;КИД-0032 (НЕДЕЛЬНЫЙ ОТЧЕТ SMM 11.03-15.03.2024)
22074;1;1;0;9;9;Шоколад с логотипом 10 гр;ИГ-0072
5422;1;1;2;8;8;Визитки эконом. Офсет.;МА-0037
10838|7262;2;5;3;8;1.6;Бумажные самоклеящиеся квадратные стикеры 7х7 см;0490
4300|4496;2;1;0;8;8;Меню А3 одностраничное HI-Kote;АЛ-0460
10446|4536;2;2;2;8;4;Бланк А4 цветной;АЛ-0581
11104|4716;2;2;0;8;4;Бланк А5 цветной;АЛ-0613
11570;1;1;5;8;8;Этикетка;МА-0156
13598;1;1;1;8;8;Брошюра верстка;АЛ-0613
4304|7846;2;2;0;8;4;Меню А3 одностраничное DNS;0555
4518|7904;2;1;0;8;8;Меню А4 одностраничное DNS;РД-0028 Меню изба
6300;1;1;0;8;8;Самоклейка перфорированная;МК-0217
7944;1;1;2;8;8;Печать на баннере 240 гр/м2;АЛ-0214
11546;1;1;1;8;8;Логобук индивидуальный;да-0048
12424;1;1;4;8;8;Дизайн-макет вывески с визуализацией;АЛ-0571(А)
17716;1;1;4;8;8;"Этикетка ""Круг"" 58х58 мм";юд-0195
6316;1;2;1;8;4;Самоклейка световая с УФ-печатью;Р051
14342;1;1;4;8;8;Стойка для оплаты акриловая с гравировкой 15х10 см;ЮД-0068
21340;1;1;0;8;8;Дизайн сити-формата;ГГ-0062
4630|5752;2;1;0;7;7;Буклет А4 2 Бига эконом 180гр/м2;АЛ-0477
4310|7864;2;1;0;7;7;Листовка А3 эконом 180 гр/м2 односторонняя;БББ 0114
4710|4822;2;2;2;7;3.5;Листовка А5 эконом 180гр/м2 двусторонняя;БББ 0363
7378;1;1;2;7;7;Стикер;Р-007
10702;1;1;1;7;7;Флаер 21х10 см;АИ-0002
7328;1;1;0;7;7;Брошюра верстка;001ФРЮ
12352;1;1;4;7;7;Дизайн транспорта;АЛ-0400
6278|6350;2;2;0;7;3.5;Самоклейка стандартная с глянцевой ламинацией;МА-0041
7968;1;1;0;7;7;Баннер литой;МА-0011
13670;1;1;0;7;7;Дизайн внутренней страницы многостраничного меню;МА-0619
4302|7856;2;1;2;7;7;Календарь-плакат;АЛ-0131
6288|6324|9134;3;1;0;7;7;Оклейка транспорта самоклейка с ламинацией ровная поверхность;0388
6290|6506;2;1;0;7;7;Оклейка транспорта самоклейка без ламинации рельефная поверхность;0383
6294|6510;2;1;0;7;7;Оклейка транспорта самоклейка без ламинации рельефная поверхность;юд-0231климат строй ларгус
5244;1;2;2;7;3.5;Флаер Офсет 150 гр/м2;МА-0037
15628;1;1;0;7;7;Листовка А5 Офсет 115 гр/м2;АЛ-1224
15630;1;1;0;7;7;Листовка А5 Офсет 115 гр/м2;МА-0936
21234;1;1;2;7;7;Визуализация световой вывески день/ночь;ГМ-0432 (МАКЕТ ВЫВЕСКИ)
21238;1;1;1;7;7;Визуализация световой вывески день/ночь;ГМ-0432 (МАКЕТ ВЫВЕСКИ)
7288;1;1;0;7;7;Подбор шрифта;0352
21410;1;1;1;7;7;Дизайн баннера для соц сетей;ГМ-0438 (СОЦ СЕТИ)
21422;1;1;0;7;7;Дизайн карточки товара;РД-0019 Муси
21210;1;1;1;7;7;Адаптация слайда презентации;ГМ-0418
22206;1;1;1;7;7;Табличка из царапанного пластика с гравировкой 30х15 см;МА-1048
4518|4632;2;1;0;7;7;Меню А4 одностраничное Hi-Kote;0665
22284;1;4;1;7;1.75;Стикер виниловый 4 см сольвентная печать;ГГ-0095
5270|5372;2;1;2;6;6;Визитки эконом. Оперативная полиграфия.;МА-0028
5078|5194;2;1;2;6;6;Флаер эконом 180 гр/м2 двухсторонний;ЮД-0051
4308|7864;2;1;0;6;6;Листовка А3 эконом 180 гр/м2 двусторонняя;МА-0236
4310|7842;2;1;0;6;6;Листовка А3 стандарт 200 гр/м2 односторонняя;АА 0182 Проект на А3
4310|7858;2;1;1;6;6;Листовка А3 глянец 250 гр/м2 односторонняя;СЮ-0002
4318|7862;2;1;0;6;6;Листовка А3 эконом 105 гр/м2 односторонняя;БББ 0566
4710|4802;2;1;0;6;6;Листовка А5 стандарт 250 гр/м2 двусторонняя;ДЗ-0132
4716|4802;2;2;0;6;3;Листовка А5 стандарт 250 гр/м2 односторонняя;АЛ-0613
10852|7260;2;1;1;6;6;Бумажные самоклеящиеся круглые стикеры 6 см;АЛ-1223
10838|7260;2;9;3;6;0.6667;Бумажные самоклеящиеся квадратные стикеры 5х5 см;БББ 0063
10446|4528;2;2;0;6;3;Бланк А4 цветной;ГМ-0133
7320;1;1;0;6;6;Брошюра страница;МА-0134
12378;1;1;0;6;6;Карта пластиковая;ГГ-0063
4304|4496;2;2;0;6;3;Меню А3 одностраничное HI-Kote;АЛ-0507
6276|6348;2;2;0;6;3;Самоклейка стандартная с матовой ламинацией;АА 0288 Самок грузоперевозки
12372;1;1;0;6;6;Лайт-бокс;ГМ-0421 (КОРОБА)
9606;1;2;0;6;3;Монтаж таблички на двухсторонний скотч;АЛ-0106
9594;1;2;0;6;3;Монтаж таблички на дюбель-гвозди;АЛ-0128
17696;1;1;1;6;6;"Этикетка ""Прямоугольник"" 90х50 мм";АЛ-0981
17910;1;1;1;6;6;Буклет А4 2 Бига Офсет 150 гр/м2;АЛ-1011
21244;1;2;2;6;3;Объемный стикер со смолой 3х3 см квадрат;юд-0367
21382;1;1;2;6;6;Дизайн диджитал-меню;ИД0165
21420;1;1;2;6;6;Дизайн карточки товара;ГГ-0065 (Фирменный стиль / ФРЕКИ)
22028;1;1;2;6;6;Создание анимационного ролика;КИД-0025
21964;1;1;2;6;6;Полноформатная съемка;АВР - 0031 Съемка экспертного ролика
22076;1;1;0;6;6;Шоколад с логотипом 10 гр;ИГ-0089
8790;1;1;0;6;6;Стабилизатор с установкой 2 кВт;АЛ-0771
7682;1;2;0;6;3;Монтаж вывески простой;АЛ-0560
5078|5170;2;1;0;5;5;Флаер стандарт 160 гр/м2;АЛ-0289(а)
4314|7862;2;1;2;5;5;Листовка А3 эконом 105 гр/м2 односторонняя;АЛ-0034
4714|4822;2;4;0;5;1.25;Листовка А5 эконом 180гр/м2 двусторонняя;АЛ-0613
4716|4820;2;2;1;5;2.5;Листовка А5 эконом 105 гр/м2 односторонняя;БББ 0443
10446|4532;2;2;2;5;2.5;Бланк А4 цветной;0569
7356;1;1;0;5;5;Поздравительный плакат;МК-0008
10768;1;1;1;5;5;Информационный баннер;РРР-0046
12732;1;1;3;5;5;Рекламный баннер;АЛ-0377
7350;1;1;0;5;5;Конверт;0649
12416;1;1;0;5;5;Штендер;юд-0460 тезис
7260|7274;2;1;0;5;5;Прямоугольная бумажная этикетка 100х250 мм;0635
6302;1;1;0;5;5;Самоклейка перфорированная;даг мил
11438;1;1;2;5;5;Кружки с печатью;АЛ-0597
11440;1;1;2;5;5;Кружки с печатью;БББ 0376
13664;1;1;0;5;5;Дизайн обложки многостраничного меню;МК-0370
8976;1;1;2;5;5;Плакат матовый (м²);АЛ-0278
7970|8058;2;1;0;5;5;Баннер литой на люверсах;АЛ-0398
9592;1;2;0;5;2.5;Монтаж таблички на дюбель-гвозди;АЛ-0213
10730;1;1;0;5;5;Дизайн баннера для web;ГГ-0062
6290|6506|9136;3;1;0;5;5;Оклейка транспорта самоклейка с ламинацией рельефная поверхность;0383
6288|6504;2;1;0;5;5;Оклейка транспорта самоклейка без ламинации рельефная поверхность;БББ 0495
14284;1;1;0;5;5;Ручка с логотипом (Какаду);ЮД-0133
15632;1;1;0;5;5;Листовка А5 Офсет 115 гр/м2;РРР-0160 Курбан МК Групп листовки
15642;1;1;0;5;5;Листовка А5 Офсет 150 гр/м2;МА-1581
5762;1;1;0;5;5;Буклет А4 2 Бига Офсет 115 гр/м2;0520
17908;1;1;0;5;5;Буклет А4 2 Бига Офсет 150 гр/м2;АЛ-1233
11104|4712|4802|6102;4;1;2;5;5;Блокнот А5 без клетки 30 листов на металлической пружине;МА-0067
21192;1;1;0;5;5;Дизайна слайда презентации со статьей;ГМ-0418
12342;1;2;0;5;2.5;Дизайн паттерна корпоративного;ГМ-0426 (ФИРМ СТИЛЬ)
21364;1;1;0;5;5;Дизайн меню-холдер;ГМ-0534 (ПРИМЕР РАБОТ дизайн меню алые паруса)
21376;1;1;2;5;5;Дизайн меню борд;ГГ-0071
21334;1;1;0;5;5;Дизайн баннера брандмауэра;ГГ-0062
21416;1;1;1;5;5;Дизайн шаблона для поста;ГМ-0438 (СОЦ СЕТИ)
22428;1;1;0;5;5;Рендеринг интерьер;ЫЪ-00004 Презентация 3д квартиры
22470;1;1;1;5;5;Рендеринг экстерьер;АГ-2407-04 Средние товары 3д
7488|7512|7728|7792|8394|8454;6;20;0;4;0.2;"Световая вывеска ""СТОМАТОЛОГИЯ""";0369
4308|7858;2;1;1;4;4;Листовка А3 глянец 250 гр/м2 двусторонняя;0689
4310|7840;2;1;0;4;4;Листовка А3 стандарт 160 гр/м2 односторонняя;МК-0290
4310|7856;2;1;0;4;4;Листовка А3 глянец 200 гр/м2 односторонняя;МА-0024
4318|7864;2;1;0;4;4;Листовка А3 эконом 180 гр/м2 односторонняя;БББ 0523
4714|4802;2;2;0;4;2;Листовка А5 стандарт 250 гр/м2 двусторонняя;АЛ-0613
5258|5402;2;1;4;4;4;"Визитки бумаге ""Сияние золота"". Оперативная полиграфия.";Визитки
8198|8206;2;4;0;4;1;Визитки на бумаге с бархатистой поверхностью, черного цвета. Фольгирование.;МК-0234
4712|4800;2;1;0;4;4;Листовка А5 стандарт 200 гр/м2 односторонняя;МА-0051
10840|7262;2;9;1;4;0.4444;Бумажные самоклеящиеся квадратные стикеры 7х7 см;0698
4514|4556|4632;3;1;2;4;4;Меню А4 одностраничное с ламинацией;АЛ-0496
7982|8112;2;3;0;4;1.3333;Пресс-волл 200х200 см на рейке;БББ-2026 прессвол Ямми Каспийск
10668|9000;2;2;2;4;2;Холст 45х90 см лакированный галерейная натяжка;МК-0074
13550;1;1;1;4;4;Коробка для пиццы/чуду;МД-0001
7364;1;1;0;4;4;Имиджевый плакат;БББ-0891
7298;1;1;0;4;4;Флаер 21х10 см;АИ-0002
7316;1;1;0;4;4;Брошюра обложка;МА-0236
10706;1;1;0;4;4;Буклет верстка;РРР-0023
12290;1;1;0;4;4;Бейсболка;ГМ-0016
12312;1;1;1;4;4;Пакет;МК-0278
6282|6354;2;4;0;4;1;Самоклейка стандартная с глянцевой ламинацией;БББ-2238
6296|9142;2;2;0;4;2;Самоклейка интерьерная с глянцевой ламинацией;МА-0828 Росско Дербент внутрянка
6298|9144;2;1;0;4;4;Самоклейка интерьерная с глянцевой ламинацией;МА-0704
6304;1;2;0;4;2;Самоклейка перфорированная;АЛ-0420
9012;1;1;1;4;4;Холст без лака;0494
9008;1;1;1;4;4;Холст лакированный;РРР-0060
11110|11120|6278;3;1;0;4;4;Штендер эмалированный оклеенный 122х66 см;МК-0055
6632|7970;2;1;2;4;4;Баннер литой на люверсах;0529
19064;1;2;0;4;2;Бейдж пластиковый с окошком на магните;ДЗ-0009
11200;1;1;0;4;4;Доработка иллюстрации;МА-0214
6296|6332;2;1;0;4;4;Оклейка транспорта самоклейка без ламинации ровная поверхность;АЛ-0693
6294|6510|9140;3;1;0;4;4;Оклейка транспорта самоклейка с ламинацией рельефная поверхность;юд-0321(а)  машина климат строй мерседес
11314|7982|9462;3;1;0;4;4;Ролл-ап стенд 100х200 см;АЛ-0831
15670;1;1;1;4;4;Флаер Офсет 115 гр/м2;АЛ-1144
15674;1;1;3;4;4;Флаер Офсет 115 гр/м2;ЗМ-0014
15648;1;1;1;4;4;Листовка А6 Офсет 115 гр/м2;АА 0155 А6 листовки
5764;1;1;1;4;4;Буклет А4 2 Бига Офсет 115 гр/м2;АЛ-0218
4320|7842;2;2;0;4;2;Листовка А3 стандарт 200 гр/м2 двусторонняя;Гайдар Личное
4630|5750;2;1;0;4;4;Буклет А4 2 Бига эконом 180гр/м2;АЛ-0526
5084|5192;2;1;1;4;4;Флаер эконом 105 гр/м2 односторонний;АЛ-0081(а)
21148;1;1;0;4;4;Адаптивный дизайн списка;РБ-0006 AUGUST меню на пляж
21196;1;1;0;4;4;Дизайна слайда презентации с инфографикой;ЮД-0470
21412;1;1;4;4;4;Дизайн баннера для соц сетей;РД-0065 Дизайн Баннер 13х6 АКАС
21430;1;1;1;4;4;Дизайн обложки меню;ГГ-0062
21468;1;1;0;4;4;Подбор шрифта для логотипа;да-0048
11248;1;1;2;4;4;Нейминг;СГ0008
21472;1;12;0;4;0.3333;Брендбук для Фитнес-клуба;ДА-055(лого)
13658;1;1;0;4;4;Дизайн меню-буклета;АЛ-0854
5078|5192;2;1;0;3;3;Флаер эконом 105 гр/м2 двухсторонний;МК-0016
5086|5192;2;1;1;3;3;Флаер эконом 105 гр/м2 двухсторонний;АЛ-0087
5086|5178;2;1;2;3;3;Флаер глянец 115 гр/м2 двухсторонний;ИД0022
5086|5182;2;1;0;3;3;Флаер глянец 150 гр/м2 двухсторонний;0645
5082|5184;2;1;2;3;3;Флаер глянец 170 гр/м2 двухсторонний;АЛ-0211
