PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;CURRENT_BASE_PRICE;OFFER_ROWS;ORDER_ROWS;UTILIZATION_STATUS
11030;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене глянец серебро/ золото 400х600;POS;2016;1;0;offers_only
11032;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене глянец серебро/ золото 500х700;POS;2512;1;0;offers_only
11034;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене глянец серебро/ золото 700х1000;POS;3584;1;0;offers_only
11036;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро А0;POS;3353.6;1;0;offers_only
11038;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро А1;POS;2177.6;1;0;offers_only
11040;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро А2;POS;1606.4;1;0;offers_only
11042;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро А3;POS;1227.2;1;0;offers_only
11044;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро А4;POS;875.2;1;0;offers_only
11046;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро 300х400;POS;1193.6;1;0;offers_only
11048;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро 400х600;POS;1428.8;1;0;offers_only
11050;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро 500х700;POS;1875.2;1;0;offers_only
11052;Рамка алюминиевая Клик ПК-25 односторонняя с глянцевым углом для крепления к стене матовое серебро 700х1000;POS;2883.2;1;0;offers_only
11054;Рамка алюминиевая Клик ПК-25 односторонняя для крепления к стене матовое серебро А0;POS;3353.6;1;0;offers_only
11064;Рамка алюминиевая Клик ПК-25 односторонняя для крепления к стене матовое серебро 300х400;POS;1193.6;1;0;offers_only
11068;Рамка алюминиевая Клик ПК-25 односторонняя для крепления к стене матовое серебро 500х700;POS;1875.2;1;0;offers_only
11070;Рамка алюминиевая Клик ПК-25 односторонняя для крепления к стене матовое серебро 700х1000;POS;2883.2;1;0;offers_only
11072;Рамка алюминиевая Клик ПК-30 односторонняя для крепления к стене матовое серебро А0;POS;3454.4;1;0;offers_only
11074;Рамка алюминиевая Клик ПК-30 односторонняя для крепления к стене матовое серебро А1;POS;2244.8;1;0;offers_only
11076;Рамка алюминиевая Клик ПК-30 односторонняя для крепления к стене матовое серебро А2;POS;1673.6;1;0;offers_only
11078;Рамка алюминиевая Клик ПК-30 односторонняя для крепления к стене матовое серебро А3;POS;1260.8;1;0;offers_only
11080;Рамка алюминиевая Клик ПК-30 односторонняя для крепления к стене матовое серебро А4;POS;891.2;1;0;offers_only
11082;Рамка алюминиевая Клик ПК-30 односторонняя для крепления к стене матовое серебро 500х700;POS;1942.4;1;0;offers_only
11084;Рамка алюминиевая Клик ПК-30 односторонняя для крепления к стене матовое серебро 700х1000;POS;2984;1;0;offers_only
11086;Рамка алюминиевая Клик ПК-25 двусторонняя для подвеса матовое серебро А0;POS;6830.4;1;0;offers_only
11088;Рамка алюминиевая Клик ПК-25 двусторонняя для подвеса матовое серебро А1;POS;4488;1;0;offers_only
11090;Рамка алюминиевая Клик ПК-25 двусторонняя для подвеса матовое серебро А2;POS;3387.2;1;0;offers_only
11092;Рамка алюминиевая Клик ПК-25 двусторонняя для подвеса матовое серебро А3;POS;2470.4;1;0;offers_only
11094;Рамка алюминиевая Клик ПК-25 двусторонняя для подвеса матовое серебро А4;POS;1899.2;1;0;offers_only
11114;Штендер эмалированный с оцинковкой 1220х660 см 4-10 шт;POS;5100;2;0;offers_only
11116;Штендер эмалированный с оцинковкой 1220х660 см 11-30 шт;POS;4800;2;0;offers_only
11118;Штендер эмалированный с оцинковкой 1220х660 см более 30 шт;POS;4500;2;0;offers_only
11124;Сборка штендера и оклейка пленкой 1220х660 см 4-10 шт Цех;Цех;1200;2;0;offers_only
11126;Сборка штендера и оклейка пленкой 1220х660 см 11-30 шт Цех;Цех;1100;2;0;offers_only
11128;Сборка штендера и оклейка пленкой 1220х660 см более 30 шт Цех;Цех;1000;2;0;offers_only
11202;Художественная илюстрация авторская простая 1 объект;Дизайн;10000;1;0;offers_only
11204;Художественная илюстрация авторская сложная 1 объект;Дизайн;20000;1;0;offers_only
11328;Тиснение 1+0 7-12 дней 1000 Печатная;Печатная;20.14;6;0;offers_only
11450;Крепеж для хром трубы 11-30 шт;Цех;240;5;0;offers_only
11456;Крепеж для хром трубы более 100 шт;Цех;195;4;0;offers_only
11476;Хром труба 0,9 мм кратно 3м, крепеж отдельно 30-60 мп;Цех;180;3;0;offers_only
11478;Хром труба 0,9 мм кратно 3м, крепеж отдельно 60-100 мп;Цех;168;4;0;offers_only
11480;Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп;Цех;156;8;0;offers_only
11490;Пресс-волл на хром трубе без учета хром трубы 20-50 кв.м Цех;Цех;1100;5;0;offers_only
11492;Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех;Цех;1000;8;0;offers_only
11494;Скотч 48мм Х 50 м белый 1 цвет 720 шт;POS;149.8;1;0;offers_only
11496;Скотч 48мм Х 50 м белый 2 цвета 720 шт;POS;156.8;1;0;offers_only
11528;Листовка А3 Офсет 150 гр/м мел бум. 4+0 5-7 дней 1000 шт;Офсет;13.59;1;0;offers_only
11530;Листовка А3 Офсет 150 гр/м мел бум. 4+0 5-7 дней 2000 шт;Офсет;9.91;1;0;offers_only
11532;Листовка А3 Офсет 150 гр/м мел бум. 4+0 5-7 дней 3000 шт;Офсет;8.64;1;0;offers_only
11534;Листовка А3 Офсет 150 гр/м мел бум. 4+0 5-7 дней 5000 шт;Офсет;7.61;1;0;offers_only
11552;Ручная отрисовка с доработкой сложного орнамента 1 векторное изображение;Дизайн;15000;1;0;offers_only
12276;Макет флага Сложный 1 оригинал-макет;Дизайн;5000;1;0;offers_only
12278;Макет плотока брендированного по образцу клиента 1 оригинал-макет;Дизайн;2000;1;0;offers_only
12280;Макет плотока брендированного с подбором 2 решений 1 оригинал-макет;Дизайн;4000;1;0;offers_only
12282;Макет плотока брендированного с подбором 5 решений 1 оригинал-макет;Дизайн;6000;1;0;offers_only
12296;Макет ценника Простой 1 оригинал-макет;Дизайн;500;2;0;offers_only
12298;Макет ценника Средней сложности 1 оригинал-макет;Дизайн;1000;1;0;offers_only
12300;Макет ценника Сложный 1 оригинал-макет;Дизайн;2000;1;0;offers_only
12334;Макет карточки товара для каталога Простая 1 оригинал-макет;Дизайн;1000;1;0;offers_only
12336;Макет карточки товара для каталога Средней сложности 1 оригинал-макет;Дизайн;2000;1;0;offers_only
12338;Макет карточки товара для каталога Сложная 1 оригинал-макет;Дизайн;4000;1;0;offers_only
12370;Макет титульной вывески Сложная 1 оригинал-макет;Дизайн;6000;1;0;offers_only
12380;Макет пластиковой карты Средней сложности 1 оригинал-макет;Дизайн;4000;1;0;offers_only
12382;Макет пластиковой карты Сложная 1 оригинал-макет;Дизайн;6000;1;0;offers_only
12396;Макет чайной пары брендированной Простая 1 оригинал-макет;Дизайн;2000;1;0;offers_only
12398;Макет чайной пары брендированной Средней сложности 1 оригинал-макет;Дизайн;4000;1;0;offers_only
12400;Макет чайной пары брендированной Сложная 1 оригинал-макет;Дизайн;6000;1;0;offers_only
12406;Макет кружки брендированной Сложная 1 оригинал-макет;Дизайн;6000;1;0;offers_only
12410;Макет обложки профиля для социальных сетей Средней сложности 1 оригинал-макет;Дизайн;4000;1;0;offers_only
12412;Макет обложки профиля для социальных сетей Сложная 1 оригинал-макет;Дизайн;6000;1;0;offers_only
12420;Макет штендера Сложный 1 оригинал-макет;Дизайн;6000;1;0;offers_only
12824;Скотч 48мм Х 50 м белый 3 цвета 108 шт;POS;306;1;0;offers_only
13496;Макет бургер бокса Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13500;Макет бургер бокса Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13504;Макет стакана для газировки Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13506;Макет стакана для газировки Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13508;Макет баскета Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13510;Макет баскета Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13512;Макет баскета Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13514;Макет оберточной бумаги Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13518;Макет оберточной бумаги Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13524;Макет крафт пакета Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13526;Макет сумки для доставки Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13528;Макет сумки для доставки Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13530;Макет сумки для доставки Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13532;Макет рюкзака для доставки Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13534;Макет рюкзака для доставки Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13536;Макет рюкзака для доставки Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13540;Макет стика с сахаром Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13542;Макет стика с сахаром Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13544;Макет флажка на зубочистку Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13546;Макет флажка на зубочистку Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13548;Макет флажка на зубочистку Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13556;Макет рожока для мороженого Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13558;Макет рожока для мороженого Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13560;Макет рожока для мороженого Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13562;Макет стакана для мороженого Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13564;Макет стакана для мороженого Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13566;Макет стакана для мороженого Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13568;Макет одноразовой тарелки Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13570;Макет одноразовой тарелки Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13572;Макет одноразовой тарелки Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13578;Макет кофейного стакана Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13580;Макет вок бока Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13582;Макет вок бока Средней сложности 1 оригинал-макет;Дизайн;5000;1;0;offers_only
13584;Макет вок бока Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13586;Макет упаковки палочек для еды Простой 1 оригинал-макет;Дизайн;2500;1;0;offers_only
13590;Макет упаковки палочек для еды Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13596;Макет одноразового стаканчика Сложный 1 оригинал-макет;Дизайн;10000;1;0;offers_only
13662;Макет меню-буклета Сложный формат А4;Дизайн;15000;1;0;offers_only
13668;Макет обложки многостраничного меню Сложный формат А4;Дизайн;15000;1;0;offers_only
13674;Макет внутренней страницы многостраничного меню Сложный формат А4;Дизайн;6000;1;0;offers_only
13684;ПАКЕТ ПВД 20х30 2+0/ 1+1 200 шт;Мерч;58.65;1;0;offers_only
13686;ПАКЕТ ПВД 20х30 2+0/ 1+1 300 шт;Мерч;51.2;1;0;offers_only
13690;ПАКЕТ ПВД 20х30 2+0/ 1+1 1000 шт;Мерч;37.52;1;0;offers_only
13692;ПАКЕТ ПВД 20х30 2+0/ 1+1 более 2000 шт;Мерч;33.54;1;0;offers_only
13696;ПАКЕТ ПВД 30х40 2+0/ 1+1 200 шт;Мерч;59.5;1;0;offers_only
13700;ПАКЕТ ПВД 30х40 2+0/ 1+1 500 шт;Мерч;44.85;1;0;offers_only
13702;ПАКЕТ ПВД 30х40 2+0/ 1+1 1000 шт;Мерч;37.94;1;0;offers_only
13704;ПАКЕТ ПВД 30х40 2+0/ 1+1 более 2000 шт;Мерч;33.93;1;0;offers_only
13706;ПАКЕТ ПВД 40х50 2+0/ 1+1 100 шт;Мерч;76.5;1;0;offers_only
13710;ПАКЕТ ПВД 40х50 2+0/ 1+1 300 шт;Мерч;60;1;0;offers_only
13714;ПАКЕТ ПВД 40х50 2+0/ 1+1 1000 шт;Мерч;41.44;1;0;offers_only
13716;ПАКЕТ ПВД 40х50 2+0/ 1+1 более 2000 шт;Мерч;37.18;1;0;offers_only
13718;ПАКЕТ ПВД 50х60 2+0/ 1+1 100 шт;Мерч;89.1;1;0;offers_only
13720;ПАКЕТ ПВД 50х60 2+0/ 1+1 200 шт;Мерч;77.35;1;0;offers_only
13722;ПАКЕТ ПВД 50х60 2+0/ 1+1 300 шт;Мерч;68.48;1;0;offers_only
13724;ПАКЕТ ПВД 50х60 2+0/ 1+1 500 шт;Мерч;64.05;1;0;offers_only
13726;ПАКЕТ ПВД 50х60 2+0/ 1+1 1000 шт;Мерч;54.18;1;0;offers_only
13728;ПАКЕТ ПВД 50х60 2+0/ 1+1 более 2000 шт;Мерч;48.23;1;0;offers_only
13730;ПАКЕТ ПВД 20х30 3+0/2+1 100 шт;Мерч;82.8;1;0;offers_only
