PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;SECTION_NAME;PARENT_SECTION;COST_PRICE;MARKUP_RATIO;PRICE_MODE;CONFIDENCE_TIER;ORDER_ROWS;OFFER_ROWS;CURRENT_BASE_PRICE;RECOMMENDED_PRICE;SUGGESTED_MIN_PRICE;SUGGESTED_MAX_PRICE;OFFER_QTY_LADDER;MANUAL_REVIEW_REASON;NEAREST_ANALOG_1;NEAREST_ANALOG_2;NEAREST_ANALOG_3
6292;6292;Винил/Баннер интерьерная печать 3-10 кв.м;Сольвент;Сольвент;Самоклейка;550;1.02;manual;low;190;14;880;;;;4|4.1|8|8.2|10;high_price_variance;6292:Винил/Баннер интерьерная печать 3-10 кв.м;;
6446;6446;Аппликация прорезка 5-10 мп Печатная;Печатная;Аппликация;Самоклейка;10;1.96;manual;low;187;24;28;;;;5.5|6|7|8|8.5|9|9.1|10;high_price_variance;6446:Аппликация прорезка 5-10 мп Печатная;;
13616;13616;Почасовая работа с дизайнером - криэйтором 1 час;Дизайн;Почасовая работа;Дизайн;1500;1.33;guided;medium;186;1;3000;2000;2000;3300;1;requires_context_lookup;;;
4338;4338;А3 Ламинация глянцевая 25мкр от 601 шт Печатная;Печатная;Ламинация;А3;9.61;1.84;guided;medium;186;0;17.64;17.64;15.88;19.4;;requires_context_lookup;;;
5258;5258;Визитки Печать 4+4 1-3 дня 240 Печатная;Печатная;Лазерная печать;Визитки;1.45;3.62;manual;low;183;10;5.25;;;;240;high_price_variance;5258:Визитки Печать 4+4 1-3 дня 240 Печатная;;
11342;11342;Выезд Каспийск, 1Махачкала, Семендер 20 км 0,4 ч Цех;Цех;Выезды;;1200;0.83;manual;low;181;0;1500;;;;;high_price_variance;11342:Выезд Каспийск, 1Махачкала, Семендер 20 км 0,4 ч Цех;;
11500;11500;Баннер на билборд 4х3 печать 12 кв.м;Сольвент;Билборд;Баннер;1800;1.3;manual;low;180;0;2340;;;;;high_price_variance;11500:Баннер на билборд 4х3 печать 12 кв.м;;
10398;10398;Доработка мокапа простая 1 решение;Дизайн;Мокапы;Дизайн;500;0.8;auto;high;176;0;1000;400;400;500;;;;;
8058;8058;Баннер люверсовка более 50 шт Цех;Цех;Обработка;Баннер;10;2;manual;low;176;25;20;;;;50|60|80|90|120|150|180|200;high_price_variance;8058:Баннер люверсовка более 50 шт Цех;;
4514;4514;А4 Печать 4+4 5-40 шт Печатная;Печатная;Печать;А4;15.65;2.78;manual;low;170;38;53.04;;;;10|20|30|40|60|80;high_price_variance;4514:А4 Печать 4+4 5-40 шт Печатная;;
7902;7902;НЕВИЯ А4 бум. 250 гр. 1 шт Печатная;Печатная;Бумага;А4;5.9;2.1;manual;low;164;38;8.8;;;;20|50|60|100|200|300|500|1000;high_price_variance;7902:НЕВИЯ А4 бум. 250 гр. 1 шт Печатная;;
manual:дизайн;0;Дизайн;__MANUAL_OR_UNCATEGORIZED__;;;;;manual;low;160;0;;;;;;manual_or_missing_catalog;21984:Саунд дизайн Простой 1 час;21988:Саунд дизайн Сложный 1 час;21064:Адаптивный дизайн галереи простой 1 вариант
10854;10854;Автоматическая контурная прорезка любой формы на листе 30х45 более 100 мп Печатная;Печатная;Автоматическая резка;Стикеры;1.7;5.88;manual;low;156;12;10;;;;110|130|160|188|190|220|236|251;high_price_variance;10854:Автоматическая контурная прорезка любой формы на листе 30х45 более 100 мп Печатная;;
7290;7290;Макет визитки Простой 1 сторона;Дизайн;Визитки;Полиграфия;500;1;manual;low;156;3;1000;;;;1|2;high_price_variance;7290:Макет визитки Простой 1 сторона;;
7904;7904;НЕВИЯ А4 бум. 300 гр. 1 шт Печатная;Печатная;Бумага;А4;10.45;1.49;manual;low;153;3;15.6;;;;20|30|40;high_price_variance;7904:НЕВИЯ А4 бум. 300 гр. 1 шт Печатная;;
11370;11370;Выезд на монтаж 2 монтажника Цех;Цех;Выезды;;1000;1.5;guided;medium;146;0;2000;1500;1500;2200;;requires_context_lookup;;;
4512;4512;А4 Печать 4+0 2-4 шт Печатная;Печатная;Печать;А4;10.08;2.78;manual;low;144;0;39.78;;;;;high_price_variance;4512:А4 Печать 4+0 2-4 шт Печатная;;
12346;12346;Брендирование транспорта Простое 1 оригинал-макет;Дизайн;Транспорт;Дизайн;2500;2;manual;low;142;5;5000;;;;1;high_price_variance;12346:Брендирование транспорта Простое 1 оригинал-макет;;
10446;10446;Снегурочка А4 80 гр. 1 шт Печатная;Печатная;Бумага;А4;0.75;1.49;manual;low;140;24;1.12;;;;100|300|500|900|1000|1500|2500|3000;high_price_variance;10446:Снегурочка А4 80 гр. 1 шт Печатная;;
4302;4302;А3 Печать 4+0 2-20 шт 1-3 дня Печатная;Печатная;Печать;А3;15.65;2.76;manual;low;138;7;53.04;;;;6|20;high_price_variance;4302:А3 Печать 4+0 2-20 шт 1-3 дня Печатная;;
7900;7900;НЕВИЯ А4 бум. 200 гр. 1 шт Печатная;Печатная;Бумага;А4;6.57;1.33;manual;low;138;7;9.8;;;;20|30|40|50|60|100|200;high_price_variance;7900:НЕВИЯ А4 бум. 200 гр. 1 шт Печатная;;
4300;4300;А3 Печать 4+4 2-20 шт 1-3 дня Печатная;Печатная;Печать;А3;31.29;2.78;manual;low;125;18;106.08;;;;6|10|15|19|20;high_price_variance;4300:А3 Печать 4+4 2-20 шт 1-3 дня Печатная;;
7300;7300;Макет листовки Простой 1 сторона;Дизайн;Листовки;Полиграфия;750;1.33;manual;low;118;2;1500;;;;1|2;high_price_variance;7300:Макет листовки Простой 1 сторона;;
9134;9134;Ламинация с накаткой для стандартной печати холодная глянцевая 1 кв.м;Сольвент;Сольвент;Самоклейка;250;2.4;manual;low;116;19;450;;;;1;high_price_variance;9134:Ламинация с накаткой для стандартной печати холодная глянцевая 1 кв.м;;
7292;7292;Макет визитки Средней сложности 1 сторона;Дизайн;Визитки;Полиграфия;1000;1;manual;low;113;6;2000;;;;1|2;high_price_variance;7292:Макет визитки Средней сложности 1 сторона;;
8160;8160;Баннер на билборд 4х3 световой монтаж 12 кв.м;Монтажники;Щит;Баннер;4000;0.97;guided;medium;113;0;5200;3900;3500;5720;;requires_context_lookup;;;
21978;21978;Аудиомонтаж Простой 1 час;Дизайн;Аудиомонтаж;СММ;1000;1.5;manual;low;112;1;2000;;;;1;high_price_variance;21978:Аудиомонтаж Простой 1 час;;
