DATASET;ID;TITLE;OPPORTUNITY;COMPANY_ID;CONTACT_ID;BEGINDATE;CLOSEDATE;DESCRIPTION;GOOD_ID;PRODUCT_ID;PRODUCT_NAME;PRICE;PRICE_ACCOUNT;QUANTITY;BASE_PRICE;CATALOG_ID;SECTION_ID;NAME;Направление;CLIENT_SOURCE;CLIENT_LABEL;CLIENT_KEY;CLIENT_CONTEXT_STATUS;PRODUCT_KEY;CATALOG_MATCH_STATUS;PRODUCT_NAME_NORMALIZED;LINE_TOTAL;PRICE_NUM;BASE_PRICE_NUM;QUANTITY_NUM;PRICE_TO_BASE_RATIO;NORMALIZED_DIRECTION;DIRECTION_SOURCE;CLOSE_MONTH;CLOSE_YEAR;DEAL_DURATION_DAYS
goods;;;;;;;;;;21016;Листовка Офсет 80 гр/м А4 4+4 5-7 дней 3000 шт;;;;4.07;21;948;Листовка Офсет 80 гр/м А4 4+4 5-7 дней 3000 шт;Офсет;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21016;catalog;Листовка Офсет 80 гр/м А4 4+4 5-7 дней 3000 шт;;;4.07;;;Офсет;raw;;;
goods;;;;;;;;;;21018;Листовка Офсет 80 гр/м А5 4+0 5-7 дней 3000 шт;;;;2.26;21;1450;Листовка Офсет 80 гр/м А5 4+0 5-7 дней 3000 шт;Офсет;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21018;catalog;Листовка Офсет 80 гр/м А5 4+0 5-7 дней 3000 шт;;;2.26;;;Офсет;raw;;;
goods;;;;;;;;;;21020;Листовка Офсет 80 гр/кв.м А5 4+4 5-7 дней 3000 шт;;;;2.49;21;1450;Листовка Офсет 80 гр/кв.м А5 4+4 5-7 дней 3000 шт;Офсет;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21020;catalog;Листовка Офсет 80 гр/кв.м А5 4+4 5-7 дней 3000 шт;;;2.49;;;Офсет;raw;;;
goods;;;;;;;;;;21022;УФ-печать на композите без белого цвета до 1 кв.м;;;;3240.00;21;2068;УФ-печать на композите без белого цвета до 1 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21022;catalog;УФ-печать на композите без белого цвета до 1 кв.м;;;3240;;;УФ-печать;raw;;;
goods;;;;;;;;;;21024;УФ-печать на композите без белого цвета 1-2 кв.м;;;;3060.00;21;2068;УФ-печать на композите без белого цвета 1-2 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21024;catalog;УФ-печать на композите без белого цвета 1-2 кв.м;;;3060;;;УФ-печать;raw;;;
goods;;;;;;;;;;21026;УФ-печать на композите без белого цвета 2-3 кв.м;;;;2880.00;21;2068;УФ-печать на композите без белого цвета 2-3 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21026;catalog;УФ-печать на композите без белого цвета 2-3 кв.м;;;2880;;;УФ-печать;raw;;;
goods;;;;;;;;;;21028;УФ-печать на композите без белого цвета 3-4 кв.м;;;;2700.00;21;2068;УФ-печать на композите без белого цвета 3-4 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21028;catalog;УФ-печать на композите без белого цвета 3-4 кв.м;;;2700;;;УФ-печать;raw;;;
goods;;;;;;;;;;21030;УФ-печать на композите без белого цвета 4-6 кв.м;;;;2520.00;21;2068;УФ-печать на композите без белого цвета 4-6 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21030;catalog;УФ-печать на композите без белого цвета 4-6 кв.м;;;2520;;;УФ-печать;raw;;;
goods;;;;;;;;;;21032;УФ-печать на композите без белого цвета более 6 кв.м;;;;2340.00;21;2068;УФ-печать на композите без белого цвета более 6 кв.м;УФ-печать;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21032;catalog;УФ-печать на композите без белого цвета более 6 кв.м;;;2340;;;УФ-печать;raw;;;
goods;;;;;;;;;;21034;Адаптивный дизайн блока хедер простой 1 вариант;;;;3000.00;21;1884;Адаптивный дизайн блока хедер простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21034;catalog;Адаптивный дизайн блока хедер простой 1 вариант;;;3000;;;Дизайн;raw;;;
goods;;;;;;;;;;21036;Адаптивный дизайн блока хедер средней сложности 1 вариант;;;;5000.00;21;1884;Адаптивный дизайн блока хедер средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21036;catalog;Адаптивный дизайн блока хедер средней сложности 1 вариант;;;5000;;;Дизайн;raw;;;
goods;;;;;;;;;;21038;Адаптивный дизайн блока хедер сложный 1 вариант;;;;7000.00;21;1884;Адаптивный дизайн блока хедер сложный 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21038;catalog;Адаптивный дизайн блока хедер сложный 1 вариант;;;7000;;;Дизайн;raw;;;
goods;;;;;;;;;;21040;Адаптивный дизайн блока футер простой 1 вариант;;;;2000.00;21;1886;Адаптивный дизайн блока футер простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21040;catalog;Адаптивный дизайн блока футер простой 1 вариант;;;2000;;;Дизайн;raw;;;
goods;;;;;;;;;;21042;Адаптивный дизайн блока футер средней сложности 1 вариант;;;;4000.00;21;1886;Адаптивный дизайн блока футер средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21042;catalog;Адаптивный дизайн блока футер средней сложности 1 вариант;;;4000;;;Дизайн;raw;;;
goods;;;;;;;;;;21044;Адаптивный дизайн блока футер сложный 1 вариант;;;;6000.00;21;1886;Адаптивный дизайн блока футер сложный 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21044;catalog;Адаптивный дизайн блока футер сложный 1 вариант;;;6000;;;Дизайн;raw;;;
goods;;;;;;;;;;21046;Адаптивный дизайн блока сайдбар простой 1 вариант;;;;4000.00;21;1888;Адаптивный дизайн блока сайдбар простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21046;catalog;Адаптивный дизайн блока сайдбар простой 1 вариант;;;4000;;;Дизайн;raw;;;
goods;;;;;;;;;;21048;Адаптивный дизайн блока сайдбар средней сложности 1 вариант;;;;8000.00;21;1888;Адаптивный дизайн блока сайдбар средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21048;catalog;Адаптивный дизайн блока сайдбар средней сложности 1 вариант;;;8000;;;Дизайн;raw;;;
goods;;;;;;;;;;21050;Адаптивный дизайн блока сайдбар сложный 1 вариант;;;;12000.00;21;1888;Адаптивный дизайн блока сайдбар сложный 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21050;catalog;Адаптивный дизайн блока сайдбар сложный 1 вариант;;;12000;;;Дизайн;raw;;;
goods;;;;;;;;;;21052;Адаптивный дизайн каталога простой 1 вариант;;;;2000.00;21;1890;Адаптивный дизайн каталога простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21052;catalog;Адаптивный дизайн каталога простой 1 вариант;;;2000;;;Дизайн;raw;;;
goods;;;;;;;;;;21054;Адаптивный дизайн каталога средней сложности 1 вариант;;;;4000.00;21;1890;Адаптивный дизайн каталога средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21054;catalog;Адаптивный дизайн каталога средней сложности 1 вариант;;;4000;;;Дизайн;raw;;;
goods;;;;;;;;;;21056;Адаптивный дизайн каталога сложный 1 вариант;;;;8000.00;21;1890;Адаптивный дизайн каталога сложный 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21056;catalog;Адаптивный дизайн каталога сложный 1 вариант;;;8000;;;Дизайн;raw;;;
goods;;;;;;;;;;21058;Адаптивный дизайн карточки товара простой 1 вариант;;;;2000.00;21;1892;Адаптивный дизайн карточки товара простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21058;catalog;Адаптивный дизайн карточки товара простой 1 вариант;;;2000;;;Дизайн;raw;;;
goods;;;;;;;;;;21060;Адаптивный дизайн карточки товара средней сложности 1 вариант;;;;4000.00;21;1892;Адаптивный дизайн карточки товара средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21060;catalog;Адаптивный дизайн карточки товара средней сложности 1 вариант;;;4000;;;Дизайн;raw;;;
goods;;;;;;;;;;21062;Адаптивный дизайн карточки товара сложный 1 вариант;;;;6000.00;21;1892;Адаптивный дизайн карточки товара сложный 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21062;catalog;Адаптивный дизайн карточки товара сложный 1 вариант;;;6000;;;Дизайн;raw;;;
goods;;;;;;;;;;21064;Адаптивный дизайн галереи простой 1 вариант;;;;3000.00;21;1894;Адаптивный дизайн галереи простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21064;catalog;Адаптивный дизайн галереи простой 1 вариант;;;3000;;;Дизайн;raw;;;
goods;;;;;;;;;;21066;Адаптивный дизайн галереи средней сложности 1 вариант;;;;5000.00;21;1894;Адаптивный дизайн галереи средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21066;catalog;Адаптивный дизайн галереи средней сложности 1 вариант;;;5000;;;Дизайн;raw;;;
goods;;;;;;;;;;21068;Адаптивный дизайн галереи сложный 1 вариант;;;;7000.00;21;1894;Адаптивный дизайн галереи сложный 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21068;catalog;Адаптивный дизайн галереи сложный 1 вариант;;;7000;;;Дизайн;raw;;;
goods;;;;;;;;;;21070;Адаптивный дизайн модального окна простой 1 вариант;;;;2000.00;21;1896;Адаптивный дизайн модального окна простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21070;catalog;Адаптивный дизайн модального окна простой 1 вариант;;;2000;;;Дизайн;raw;;;
goods;;;;;;;;;;21072;Адаптивный дизайн модального окна средней сложности 1 вариант;;;;3000.00;21;1896;Адаптивный дизайн модального окна средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21072;catalog;Адаптивный дизайн модального окна средней сложности 1 вариант;;;3000;;;Дизайн;raw;;;
goods;;;;;;;;;;21074;Адаптивный дизайн модального окна сложный 1 вариант;;;;4000.00;21;1896;Адаптивный дизайн модального окна сложный 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21074;catalog;Адаптивный дизайн модального окна сложный 1 вариант;;;4000;;;Дизайн;raw;;;
goods;;;;;;;;;;21076;Адаптивный дизайн формы заявки простой 1 вариант;;;;2000.00;21;1898;Адаптивный дизайн формы заявки простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21076;catalog;Адаптивный дизайн формы заявки простой 1 вариант;;;2000;;;Дизайн;raw;;;
goods;;;;;;;;;;21078;Адаптивный дизайн формы заявки средней сложности 1 вариант;;;;3000.00;21;1898;Адаптивный дизайн формы заявки средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21078;catalog;Адаптивный дизайн формы заявки средней сложности 1 вариант;;;3000;;;Дизайн;raw;;;
goods;;;;;;;;;;21080;Адаптивный дизайн формы заявки сложный 1 вариант;;;;4000.00;21;1898;Адаптивный дизайн формы заявки сложный 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21080;catalog;Адаптивный дизайн формы заявки сложный 1 вариант;;;4000;;;Дизайн;raw;;;
goods;;;;;;;;;;21082;Адаптивный дизайн блока вопрос-ответ простой 1 вариант;;;;2000.00;21;1900;Адаптивный дизайн блока вопрос-ответ простой 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21082;catalog;Адаптивный дизайн блока вопрос-ответ простой 1 вариант;;;2000;;;Дизайн;raw;;;
goods;;;;;;;;;;21084;Адаптивный дизайн блока вопрос-ответ средней сложности 1 вариант;;;;3000.00;21;1900;Адаптивный дизайн блока вопрос-ответ средней сложности 1 вариант;Дизайн;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;__NOT_APPLICABLE__;21084;catalog;Адаптивный дизайн блока вопрос-ответ средней сложности 1 вариант;;;3000;;;Дизайн;raw;;;
